Step,Loss
0,2281.982177734375
1,2116.688232421875
2,2022.651123046875
3,1972.949951171875
4,1933.2421875
5,1898.181884765625
6,1880.229736328125
7,1854.99462890625
8,1838.7860107421875
9,1830.625
10,1821.2994384765625
11,1813.2418212890625
12,1808.9110107421875
13,1801.068359375
14,1797.976318359375
15,1794.851806640625
16,1796.173095703125
17,1790.85693359375
18,1790.1988525390625
19,1790.8720703125
20,1788.732177734375
21,1792.33642578125
22,1788.8460693359375
23,1790.39599609375
24,1791.1268310546875
25,1789.1102294921875
26,1790.15625
27,1791.538818359375
28,1790.4022216796875
29,1791.38330078125
30,1791.5054931640625
31,1790.86669921875
32,1792.5361328125
33,1792.4105224609375
34,1791.982421875
35,1792.1053466796875
36,1793.3319091796875
37,1792.9478759765625
38,1793.44140625
39,1793.4144287109375
40,1793.9559326171875
41,1794.70263671875
42,1793.676025390625
43,1794.4737548828125
44,1793.8299560546875
45,1794.630859375
46,1794.070068359375
47,1794.54833984375
48,1794.9100341796875
49,1794.489501953125
