Step,Loss
0,2633.755859375
1,2400.578369140625
2,2119.46630859375
3,1920.25244140625
4,1733.515380859375
5,1589.7728271484375
6,1496.99365234375
7,1430.1904296875
8,1380.03173828125
9,1348.98095703125
10,1332.5606689453125
11,1318.5501708984375
12,1317.5855712890625
13,1331.6378173828125
14,1332.7635498046875
15,1353.8187255859375
16,1370.9598388671875
