Step,Loss
0,2314.67529296875
1,2212.621337890625
2,2165.977783203125
3,2140.6728515625
4,2117.5078125
5,2100.3759765625
6,2087.369140625
7,2079.309326171875
8,2071.65478515625
9,2069.327392578125
10,2061.716064453125
11,2056.67626953125
12,2055.020263671875
13,2049.536865234375
14,2049.1650390625
15,2046.0213623046875
16,2043.76513671875
17,2042.485595703125
18,2040.948974609375
19,2038.7496337890625
